date,view,label
2022-01-01,31,0
2022-01-02,26,0
2022-01-03,35,0
2022-01-04,30,0
2022-01-05,34,0
2022-01-06,39,0
2022-01-07,40,0
2022-01-08,33,0
2022-01-09,29,0
2022-01-10,26,0
2022-01-11,31,0
2022-01-12,23,0
2022-01-13,20,0
2022-01-14,28,0
2022-01-15,32,0
2022-01-16,27,0
2022-01-17,36,0
2022-01-18,21,0
2022-01-19,27,0
2022-01-20,27,0
2022-01-21,22,0
2022-01-22,26,0
2022-01-23,27,0
2022-01-24,25,0
2022-01-25,35,0
2022-01-26,34,0
2022-01-27,29,0
2022-01-28,24,0
2022-01-29,35,0
2022-01-30,34,0
2022-01-31,25,0
2022-02-01,32,0
2022-02-02,20,0
2022-02-03,28,0
2022-02-04,28,0
2022-02-05,14,0
2022-02-06,17,0
2022-02-07,23,0
2022-02-08,16,0
2022-02-09,26,0
2022-02-10,22,0
2022-02-11,12,0
2022-02-12,27,0
2022-02-13,17,0
2022-02-14,33,0
2022-02-15,39,0
2022-02-16,25,0
2022-02-17,17,0
2022-02-18,22,0
2022-02-19,8,0
2022-02-20,13,0
2022-02-21,31,0
2022-02-22,18,0
2022-02-23,17,0
2022-02-24,20,0
2022-02-25,17,0
2022-02-26,26,0
2022-02-27,24,0
2022-02-28,28,0
2022-03-01,29,0
2022-03-02,24,0
2022-03-03,44,0
2022-03-04,37,0
2022-03-05,30,0
2022-03-06,12,0
2022-03-07,29,0
2022-03-08,45,0
2022-03-09,26,0
2022-03-10,58,0
2022-03-11,29,0
2022-03-12,48,0
2022-03-13,36,0
2022-03-14,20,0
2022-03-15,25,0
2022-03-16,39,0
2022-03-17,44,0
2022-03-18,56,0
2022-03-19,55,0
2022-03-20,40,0
2022-03-21,49,0
2022-03-22,58,0
2022-03-23,47,0
2022-03-24,52,0
2022-03-25,53,0
2022-03-26,97,0
2022-03-27,51,0
2022-03-28,79,0
2022-03-29,62,0
2022-03-30,52,0
2022-03-31,53,0
2022-04-01,37,0
2022-04-02,59,0
2022-04-03,32,0
2022-04-04,59,0
2022-04-05,42,0
2022-04-06,90,0
2022-04-07,70,0
2022-04-08,71,0
2022-04-09,73,0
2022-04-10,60,0
2022-04-11,38,0
2022-04-12,67,0
2022-04-13,87,0
2022-04-14,73,0
2022-04-15,69,0
2022-04-16,84,0
2022-04-17,61,0
2022-04-18,66,0
2022-04-19,46,0
2022-04-20,71,0
2022-04-21,62,0
2022-04-22,77,0
2022-04-23,77,0
2022-04-24,31,0
2022-04-25,78,0
2022-04-26,81,0
2022-04-27,89,0
2022-04-28,72,0
2022-04-29,77,0
2022-04-30,59,0
2022-05-01,52,0
2022-05-02,49,0
2022-05-03,76,0
2022-05-04,70,0
2022-05-05,78,0
2022-05-06,59,0
2022-05-07,68,0
2022-05-08,57,0
2022-05-09,73,0
2022-05-10,88,0
2022-05-11,82,0
2022-05-12,99,0
2022-05-13,83,0
2022-05-14,76,0
2022-05-15,47,0
2022-05-16,70,0
2022-05-17,77,0
2022-05-18,84,0
2022-05-19,66,0
2022-05-20,91,0
2022-05-21,74,0
2022-05-22,106,0
2022-05-23,107,0
2022-05-24,57,0
2022-05-25,68,0
2022-05-26,109,0
2022-05-27,61,0
2022-05-28,89,0
2022-05-29,59,0
2022-05-30,101,0
2022-05-31,96,0
2022-06-01,69,0
2022-06-02,81,0
2022-06-03,98,0
2022-06-04,106,0
2022-06-05,81,0
2022-06-06,80,0
2022-06-07,95,0
2022-06-08,118,0
2022-06-09,118,0
2022-06-10,117,0
2022-06-11,114,0
2022-06-12,106,0
2022-06-13,115,0
2022-06-14,95,0
2022-06-15,111,0
2022-06-16,136,0
2022-06-17,134,0
2022-06-18,124,0
2022-06-19,140,0
2022-06-20,188,1
2022-06-21,139,0
2022-06-22,155,0
2022-06-23,119,0
2022-06-24,121,0
2022-06-25,80,0
2022-06-26,117,0
2022-06-27,126,0
2022-06-28,144,0
2022-06-29,135,0
2022-06-30,106,0
2022-07-01,94,0
2022-07-02,126,0
2022-07-03,117,0
2022-07-04,144,0
2022-07-05,143,0
2022-07-06,108,0
2022-07-07,94,0
2022-07-08,103,0
2022-07-09,79,0
2022-07-10,90,0
2022-07-11,107,0
2022-07-12,123,0
2022-07-13,97,0
2022-07-14,96,0
2022-07-15,131,0
2022-07-16,110,0
2022-07-17,91,0
2022-07-18,118,0
2022-07-19,79,0
2022-07-20,109,0
2022-07-21,88,0
2022-07-22,92,0
2022-07-23,104,0
2022-07-24,92,0
2022-07-25,102,0
2022-07-26,99,0
2022-07-27,135,0
2022-07-28,99,0
2022-07-29,92,0
2022-07-30,78,0
2022-07-31,84,0
2022-08-01,80,0
2022-08-02,99,0
2022-08-03,122,0
2022-08-04,100,0
2022-08-05,119,0
2022-08-06,75,0
2022-08-07,96,0
2022-08-08,117,0
2022-08-09,122,0
2022-08-10,121,0
2022-08-11,78,0
2022-08-12,91,0
2022-08-13,106,0
2022-08-14,76,0
2022-08-15,120,0
2022-08-16,103,0
2022-08-17,120,0
2022-08-18,88,0
2022-08-19,140,0
2022-08-20,86,0
2022-08-21,82,0
2022-08-22,109,0
2022-08-23,91,0
2022-08-24,125,0
2022-08-25,89,0
2022-08-26,119,0
2022-08-27,120,0
2022-08-28,83,0
2022-08-29,128,0
2022-08-30,140,0
2022-08-31,121,0
2022-09-01,94,0
2022-09-02,102,0
2022-09-03,97,0
2022-09-04,78,0
2022-09-05,162,0
2022-09-06,106,0
2022-09-07,114,0
2022-09-08,72,0
2022-09-09,108,0
2022-09-10,109,0
2022-09-11,83,0
2022-09-12,100,0
2022-09-13,125,0
2022-09-14,111,0
2022-09-15,123,0
2022-09-16,139,0
2022-09-17,248,1
2022-09-18,94,0
2022-09-19,128,0
2022-09-20,115,0
2022-09-21,114,0
2022-09-22,101,0
2022-09-23,96,0
2022-09-24,87,0
2022-09-25,87,0
2022-09-26,93,0
2022-09-27,111,0
2022-09-28,70,0
2022-09-29,84,0
2022-09-30,90,0
2022-10-01,100,0
2022-10-02,77,0
2022-10-03,115,0
2022-10-04,80,0
2022-10-05,106,0
2022-10-06,93,0
2022-10-07,79,0
2022-10-08,126,0
2022-10-09,79,0
2022-10-10,73,0
2022-10-11,84,0
2022-10-12,101,0
2022-10-13,88,0
2022-10-14,133,0
2022-10-15,99,0
2022-10-16,8,1
2022-10-17,87,0
2022-10-18,109,0
2022-10-19,111,0
2022-10-20,70,0
2022-10-21,82,0
2022-10-22,94,0
2022-10-23,53,0
2022-10-24,82,0
2022-10-25,105,0
2022-10-26,85,0
2022-10-27,102,0
2022-10-28,110,0
2022-10-29,87,0
2022-10-30,83,0
2022-10-31,87,0
2022-11-01,71,0
2022-11-02,63,0
2022-11-03,103,0
2022-11-04,84,0
2022-11-05,71,0
2022-11-06,75,0
2022-11-07,75,0
2022-11-08,79,0
2022-11-09,81,0
2022-11-10,95,0
2022-11-11,119,0
2022-11-12,90,0
2022-11-13,75,0
2022-11-14,75,0
2022-11-15,86,0
2022-11-16,86,0
2022-11-17,75,0
2022-11-18,115,0
2022-11-19,101,0
2022-11-20,68,0
2022-11-21,80,0
2022-11-22,88,0
2022-11-23,100,0
2022-11-24,52,0
2022-11-25,74,0
2022-11-26,69,0
2022-11-27,74,0
2022-11-28,70,0
2022-11-29,105,0
2022-11-30,81,0
2022-12-01,68,0
2022-12-02,87,0
2022-12-03,67,0
2022-12-04,53,0
2022-12-05,89,0
2022-12-06,97,0
2022-12-07,70,0
2022-12-08,117,0
2022-12-09,57,0
2022-12-10,72,0
2022-12-11,66,0
2022-12-12,96,0
2022-12-13,85,0
2022-12-14,71,0
2022-12-15,87,0
2022-12-16,100,0
2022-12-17,69,0
2022-12-18,79,0
2022-12-19,83,0
2022-12-20,109,0
2022-12-21,72,0
2022-12-22,81,0
2022-12-23,86,0
2022-12-24,56,0
2022-12-25,76,0
2022-12-26,79,0
2022-12-27,78,0
2022-12-28,72,0
2022-12-29,47,0
2022-12-30,67,0
2022-12-31,59,0
2023-01-01,58,0
2023-01-02,62,0
2023-01-03,64,0
2023-01-04,88,0
2023-01-05,83,0
2023-01-06,84,0
2023-01-07,66,0
2023-01-08,67,0
2023-01-09,60,0
2023-01-10,70,0
2023-01-11,105,0
2023-01-12,74,0
2023-01-13,72,0
2023-01-14,62,0
2023-01-15,30,0
2023-01-16,50,0
2023-01-17,58,0
2023-01-18,50,0
2023-01-19,10,1
2023-01-20,2,1
2023-01-21,1,0
2023-01-22,1,0
2023-01-25,5,1
2023-01-26,4,1
2023-01-27,42,0
2023-01-28,32,0
2023-01-29,34,0
2023-01-30,47,0
2023-01-31,45,0
2023-02-01,50,0
2023-02-02,42,0
2023-02-03,58,0
2023-02-04,47,0
2023-02-05,52,0
2023-02-06,58,0
2023-02-07,79,0
2023-02-08,47,0
2023-02-09,64,0
2023-02-10,74,0
2023-02-11,74,0
2023-02-12,62,0
2023-02-13,80,0
2023-02-14,83,0
2023-02-15,209,1
2023-02-16,238,1
2023-02-17,75,0
2023-02-18,50,0
2023-02-19,63,0
2023-02-20,71,0
2023-02-21,78,0
2023-02-22,79,0
2023-02-23,75,0
2023-02-24,81,0
2023-02-25,55,0
2023-02-26,45,0
2023-02-27,55,0
2023-02-28,78,0
2023-03-01,71,0
2023-03-02,60,0
2023-03-03,80,0
2023-03-04,70,0
2023-03-05,73,0
2023-03-06,75,0
2023-03-07,99,0
2023-03-08,65,0
2023-03-09,91,0
2023-03-10,76,0
2023-03-11,68,0
2023-03-12,66,0
2023-03-13,60,0
2023-03-14,74,0
2023-03-15,71,0
2023-03-16,111,0
2023-03-17,73,0
2023-03-18,59,0
2023-03-19,60,0
2023-03-20,64,0
2023-03-21,99,0
2023-03-22,70,0
2023-03-23,68,0
2023-03-24,74,0
2023-03-25,78,0
2023-03-26,83,0
2023-03-27,70,0
2023-03-28,99,0
2023-03-29,75,0
2023-03-30,66,0
2023-03-31,130,1
2023-04-01,81,0
2023-04-02,42,0
2023-04-03,71,0
2023-04-04,66,0
2023-04-05,70,0
2023-04-06,85,0
2023-04-07,69,0
2023-04-08,55,0
2023-04-09,41,0
2023-04-10,68,0
2023-04-11,81,0
2023-04-12,74,0
2023-04-13,63,0
2023-04-14,87,0
2023-04-15,64,0
2023-04-16,65,0
2023-04-17,70,0
2023-04-18,75,0
2023-04-19,85,0
2023-04-20,80,0
2023-04-21,83,0
2023-04-22,68,0
2023-04-23,73,0
2023-04-24,75,0
2023-04-25,72,0
2023-04-26,88,0
2023-04-27,93,0
2023-04-28,68,0
2023-04-29,32,1
2023-04-30,33,0
2023-05-01,33,1
2023-05-02,45,1
2023-05-03,66,0
2023-05-04,85,0
2023-05-05,76,0
2023-05-06,82,0
2023-05-07,69,0
2023-05-08,65,0
2023-05-09,84,0
2023-05-10,79,0
2023-05-11,62,0
2023-05-12,68,0
2023-05-13,65,0
2023-05-14,55,0
2023-05-15,85,0
2023-05-16,96,0
2023-05-17,80,0
2023-05-18,104,0
2023-05-19,116,0
2023-05-20,87,0
2023-05-21,89,0
2023-05-22,126,0
2023-05-23,100,0
2023-05-24,82,0
2023-05-25,87,0
2023-05-26,73,0
2023-05-27,79,0
2023-05-28,82,0
2023-05-29,106,0
2023-05-30,87,0
2023-05-31,78,0
2023-06-01,83,0
2023-06-02,107,0
2023-06-03,117,0
2023-06-04,76,0
2023-06-05,78,0
2023-06-06,79,0
2023-06-07,77,0
2023-06-08,136,1
2023-06-09,85,0
2023-06-10,121,0
2023-06-11,87,0
2023-06-12,113,0
2023-06-13,81,0
2023-06-14,83,0
2023-06-15,82,0
2023-06-16,119,0
2023-06-17,98,0
2023-06-18,64,0
2023-06-19,65,0
2023-06-20,93,0
2023-06-21,86,0
2023-06-22,78,0
2023-06-23,71,0
2023-06-24,82,0
2023-06-25,59,0
2023-06-26,81,0
2023-06-27,94,0
2023-06-28,90,0
2023-06-29,95,0
2023-06-30,114,0
2023-07-01,118,0
2023-07-02,86,0
2023-07-03,74,0
2023-07-04,82,0
2023-07-05,98,0
2023-07-06,79,0
2023-07-07,78,0
2023-07-08,84,0
2023-07-09,68,0
2023-07-10,78,0
2023-07-11,80,0
2023-07-12,96,0
2023-07-13,77,0
2023-07-14,103,0
2023-07-15,64,0
2023-07-16,65,0
2023-07-17,101,0
2023-07-18,65,0
2023-07-19,66,0
2023-07-20,74,0
2023-07-21,87,0
2023-07-22,81,0
2023-07-23,74,0
2023-07-24,103,0
2023-07-25,69,0
2023-07-26,117,0
2023-07-27,94,0
2023-07-28,71,0
2023-07-29,91,0
2023-07-30,71,0
2023-07-31,86,0
2023-08-01,91,0
2023-08-02,80,0
2023-08-03,93,0
2023-08-04,67,0
2023-08-05,67,0
2023-08-06,85,0
2023-08-07,105,0
2023-08-08,108,0
2023-08-09,90,0
2023-08-10,106,0
2023-08-11,73,0
2023-08-12,99,0
2023-08-13,90,0
2023-08-14,91,0
2023-08-15,92,0
2023-08-16,107,0
2023-08-17,116,0
2023-08-18,104,0
2023-08-19,96,0
2023-08-20,61,0
2023-08-21,113,0
2023-08-22,111,0
2023-08-23,118,0
2023-08-24,101,0
2023-08-25,84,0
2023-08-26,90,0
2023-08-27,73,0
2023-08-28,136,0
2023-08-29,123,0
2023-08-30,106,0
2023-08-31,121,0
2023-09-01,68,0
2023-09-02,63,0
2023-09-03,84,0
2023-09-04,71,0
2023-09-05,162,1
2023-09-06,113,0
2023-09-07,127,0
2023-09-08,117,0
2023-09-09,124,0
2023-09-10,68,0
2023-09-11,122,0
2023-09-12,113,0
2023-09-13,91,0
2023-09-14,64,0
2023-09-15,110,0
2023-09-16,85,0
2023-09-17,77,0
2023-09-18,109,0
2023-09-19,125,0
2023-09-20,158,1
2023-09-21,101,0
2023-09-22,98,0
2023-09-23,113,0
2023-09-24,82,0
2023-09-25,97,0
2023-09-26,98,0
2023-09-27,94,0
2023-09-28,73,0
2023-09-29,106,0
2023-09-30,92,0
2023-10-01,76,0
2023-10-02,113,0
2023-10-03,134,0
2023-10-04,105,0
2023-10-05,103,0
2023-10-06,90,0
2023-10-07,72,0
