placeId,ensemble_comp_f1,ensemble_aff_f1,ensemble_td,num_true,ensemble_num_pred,len,vus_avg,top_model_vus
4611864748268400448,0.5365853658536585,0.9335061529800638,789,11,30,845,0.9129108195760761,KNN
4612088555142300004,0.5060240963855422,0.5244887720489219,572,22,9,643,0.8264824897097636,KNN
4612249398246946328,0.42857142857142855,0.7967951183007781,385,3,11,630,0.8379465061618806,KNN
4612577671677689572,0.7499999999999999,0.7493917274939172,261,6,3,641,0.8300652776962743,KNN
4613124139963382736,0.7567567567567567,0.8948050335997655,103,10,12,645,0.8024133379705937,KNN
4613320429447084082,0.4615384615384615,0.5746685430708837,281,8,5,645,0.7819858934503199,Prophet
4614070236986914067,0.49180327868852464,0.7033001865137019,404,16,10,643,0.7733500183229677,KNN
4614585987297941337,0.625,0.692354244919487,888,36,12,644,0.7497967929274186,Prophet
4615670151797961871,0.3333333333333333,0.5239766081871345,66,5,2,90,0.6998646452094541,Prophet
4617017560578976530,0.1818181818181818,0.22923301188474762,2621,42,8,486,0.7264910785514302,KNN
4617159628722080630,0.2127659574468085,0.27864835478568334,986,55,9,301,0.7911148589978045,KNN
4617284432736673595,0.3333333333333333,0.3474994130077483,3733,40,5,645,0.7846248387145536,Prophet
4617505612717757046,0.6545454545454545,0.7566514436790314,237,16,14,362,0.7795865896494598,KNN
4618181174669096910,0.5202702702702703,0.5481779371538311,1358,38,14,645,0.763042389398972,Prophet
4618326887843671643,0.8,0.8,138,6,4,534,1.0457486915190772,KNN
4618450758643546965,0.5217391304347826,0.780452566361536,339,17,14,644,0.769710310778146,Prophet
4618811701739946596,0.7692307692307693,0.7692307692307693,31,8,5,305,0.8108994987949467,KNN
4618851997145527336,0.42857142857142855,0.7668977023397782,131,6,8,630,0.8795609145468933,KNN
4619107164514240020,0.7499999999999999,0.7499999999999999,38,5,3,150,0.9159209485584252,KNN
4619473601102836221,0.6122448979591836,0.769659036083863,328,12,10,368,0.8441141447217297,IForest
4619882972180359955,0.6611570247933884,0.7359749096231174,371,23,21,576,0.8352184593520813,KNN
4619948752817665977,0.6451612903225806,0.7494670004015044,313,15,12,619,0.9358714345063938,KNN
4620117390714778322,0.6666666666666665,0.8422952002887043,103,4,5,645,0.8020761054023232,Prophet
4621920615327109068,0.5840707964601771,0.6112927671694358,918,50,16,635,0.9218836447913809,KNN
4622072574751166319,0.3125,0.5575741373375914,1922,35,19,645,0.7719378594075376,Prophet
4622437239164062165,0.5714285714285715,0.65135181950517,508,16,9,374,0.7749069346595254,RePAD
4622601761085306940,0.5454545454545454,0.6598158487131351,356,17,15,634,0.870815022681354,KNN
4623970853998737223,0.6,0.5992529348986125,214,12,6,292,0.8046528483116399,Prophet
4624250602007546761,0.3636363636363636,0.49346405228758167,339,6,5,419,0.7357511566168788,KNN
4624260416881771099,0.6598984771573604,0.6795177389983098,469,31,16,645,0.7544774186040625,KNN
